plane_name,nation,rank,battle_rating,max_speed,turn_time,climb_rate,wing_rip_speed,combat_flap_rip_speed,image_url
PB4Y-2,USA,III,5.3,404,38.0,3.5,599,N/A,https://wiki.warthunder.com/images/thumb/b/b2/GarageImage_PB4Y-2.jpg/800px-GarageImage_PB4Y-2.jpg
PBJ-1H,USA,III,3.7,451,37.0,7.7,611,382,https://wiki.warthunder.com/images/thumb/9/93/GarageImage_PBJ-1H.jpg/800px-GarageImage_PBJ-1H.jpg
PBJ-1J,USA,III,3.7,457,36.0,7.7,591,382,https://wiki.warthunder.com/images/thumb/f/f5/GarageImage_PBJ-1J.jpg/800px-GarageImage_PBJ-1J.jpg
"PBM-1 ""Mariner""",USA,I,2.0,346,29.0,6.0,388.88,498,https://wiki.warthunder.com/images/thumb/0/09/GarageImage_PBM-1_%22Mariner%22.jpg/800px-GarageImage_PBM-1_%22Mariner%22.jpg
"PBM-3 ""Mariner""",USA,II,3.0,349,34.0,4.9,405,333,https://wiki.warthunder.com/images/thumb/4/46/GarageImage_PBM-3_%22Mariner%22.jpg/800px-GarageImage_PBM-3_%22Mariner%22.jpg
PBY-5 Catalina,USA,I,1.3,288,28.0,4.8,405,-,https://wiki.warthunder.com/images/thumb/6/6c/GarageImage_PBY-5_Catalina.jpg/800px-GarageImage_PBY-5_Catalina.jpg
PBY-5A Catalina,USA,I,1.7,282,30.0,5.1,405,-,https://wiki.warthunder.com/images/thumb/8/8f/GarageImage_PBY-5A_Catalina.jpg/800px-GarageImage_PBY-5A_Catalina.jpg
PV-2D,USA,III,3.7,478,28.0,12.0,601,326,https://wiki.warthunder.com/images/thumb/d/d3/GarageImage_PV-2D.jpg/800px-GarageImage_PV-2D.jpg
Rasmussen's P-36A,USA,I,1.3,504,17.3,10.6,681,488,https://wiki.warthunder.com/images/thumb/a/a0/GarageImage_Rasmussen%27s_P-36A.jpg/800px-GarageImage_Rasmussen%27s_P-36A.jpg
SB2C-1C,USA,II,3.0,450,23.0,6.1,656,503,https://wiki.warthunder.com/images/thumb/7/70/GarageImage_SB2C-1C.jpg/800px-GarageImage_SB2C-1C.jpg
SB2C-4,USA,II,3.7,459,23.0,6.1,656,503,https://wiki.warthunder.com/images/thumb/b/b2/GarageImage_SB2C-4.jpg/800px-GarageImage_SB2C-4.jpg
SB2U-2,USA,I,1.0,360,22.0,6.2,740,-,https://wiki.warthunder.com/images/thumb/2/2f/GarageImage_SB2U-2.jpg/800px-GarageImage_SB2U-2.jpg
SB2U-3,USA,I,1.7,360,22.0,6.2,740,N/A,https://wiki.warthunder.com/images/thumb/5/50/GarageImage_SB2U-3.jpg/800px-GarageImage_SB2U-3.jpg
SBD-3,USA,I,2.0,439,25.5,9.8,740,490,https://wiki.warthunder.com/images/thumb/e/ef/GarageImage_SBD-3.jpg/800px-GarageImage_SBD-3.jpg
SOC-1,USA,I,1.3,___,__._,__._,0,___,https://wiki.warthunder.com/images/thumb/9/95/GarageImage_SOC-1.jpg/800px-GarageImage_SOC-1.jpg
▃Spitfire LF Mk IXc,USA,IV,5.7,690,14.8,31.8,774,N/A,https://wiki.warthunder.com/images/thumb/8/89/GarageImage_Spitfire_LF_Mk_IXc_%28USA%29.jpg/800px-GarageImage_Spitfire_LF_Mk_IXc_%28USA%29.jpg
TBD-1,USA,I,1.0,312,19.0,6.1,431,212,https://wiki.warthunder.com/images/thumb/1/13/GarageImage_TBD-1.jpg/800px-GarageImage_TBD-1.jpg
TBF-1C,USA,I,1.7,432,30.0,5.1,612,N/A,https://wiki.warthunder.com/images/thumb/c/ce/GarageImage_TBF-1C.jpg/800px-GarageImage_TBF-1C.jpg
Thach's F2A-1,USA,I,2.0,504,18.2,10.9,761,437,https://wiki.warthunder.com/images/thumb/7/73/GarageImage_Thach%27s_F2A-1.jpg/800px-GarageImage_Thach%27s_F2A-1.jpg
XA-38,USA,IV,3.7,616,28.0,11.4,714,333,https://wiki.warthunder.com/images/thumb/0/04/GarageImage_XA-38.jpg/800px-GarageImage_XA-38.jpg
XF5F,USA,III,2.3,574,21.0,9.7,722,465,https://wiki.warthunder.com/images/thumb/d/d9/GarageImage_XF5F.jpg/800px-GarageImage_XF5F.jpg
XP-38G,USA,II,3.3,660,22.0,18.0,790,565,https://wiki.warthunder.com/images/thumb/5/55/GarageImage_XP-38G.jpg/800px-GarageImage_XP-38G.jpg
XP-50,USA,III,4.0,680,19.0,20.0,745,465,https://wiki.warthunder.com/images/thumb/f/ff/GarageImage_XP-50.jpg/800px-GarageImage_XP-50.jpg
XP-55,USA,III,4.3,628,29.2,18.6,900,523,https://wiki.warthunder.com/images/thumb/8/8d/GarageImage_XP-55.jpg/800px-GarageImage_XP-55.jpg
YP-38,USA,II,3.0,635,23.0,13.5,790,566,https://wiki.warthunder.com/images/thumb/0/09/GarageImage_YP-38.jpg/800px-GarageImage_YP-38.jpg
Ar 196 A-3,Germany,I,1.3,320,21.0,7.0,570,498,https://wiki.warthunder.com/images/thumb/7/73/GarageImage_Ar_196_A-3.jpg/800px-GarageImage_Ar_196_A-3.jpg
Ar 234 B-2,Germany,V,6.3,742,28.5,28.5,1000,527,https://wiki.warthunder.com/images/thumb/a/a3/GarageImage_Ar_234_B-2.jpg/800px-GarageImage_Ar_234_B-2.jpg
Ar 234 C-3,Germany,V,7.3,857,29.0,28.5,1000,527,https://wiki.warthunder.com/images/thumb/6/6a/GarageImage_Ar_234_C-3.jpg/800px-GarageImage_Ar_234_C-3.jpg
Bf 109 B-1,Germany,I,1.3,465,22.0,10.2,790,387,https://wiki.warthunder.com/images/thumb/b/b4/GarageImage_Bf_109_B-1.jpg/800px-GarageImage_Bf_109_B-1.jpg
Bf 109 E-1,Germany,II,2.3,570,20.0,17.8,790,477,https://wiki.warthunder.com/images/thumb/e/e1/GarageImage_Bf_109_E-1.jpg/800px-GarageImage_Bf_109_E-1.jpg
Bf 109 E-3,Germany,II,2.3,570,20.0,17.8,790,477,https://wiki.warthunder.com/images/thumb/d/d5/GarageImage_Bf_109_E-3.jpg/800px-GarageImage_Bf_109_E-3.jpg
Bf 109 E-4,Germany,II,3.0,580,21.0,17.8,790,487,https://wiki.warthunder.com/images/thumb/a/ad/GarageImage_Bf_109_E-4.jpg/800px-GarageImage_Bf_109_E-4.jpg
Bf 109 E-7/U2,Germany,II,3.0,580,21.0,17.8,790,487,https://wiki.warthunder.com/images/thumb/c/ce/GarageImage_Bf_109_E-7_U2.jpg/800px-GarageImage_Bf_109_E-7_U2.jpg
Bf 109 F-1,Germany,II,2.7,614,18.0,20.0,790,437,https://wiki.warthunder.com/images/thumb/1/1f/GarageImage_Bf_109_F-1.jpg/800px-GarageImage_Bf_109_F-1.jpg
Bf 109 F-2,Germany,II,3.0,614,18.0,20.0,790,437,https://wiki.warthunder.com/images/thumb/1/1d/GarageImage_Bf_109_F-2.jpg/800px-GarageImage_Bf_109_F-2.jpg
Bf 109 F-4,Germany,III,4.0,665,19.0,20.0,790,437,https://wiki.warthunder.com/images/thumb/c/cf/GarageImage_Bf_109_F-4.jpg/800px-GarageImage_Bf_109_F-4.jpg
Bf 109 F-4/trop,Germany,III,4.0,658,19.0,20.0,790,437,https://wiki.warthunder.com/images/thumb/1/13/GarageImage_Bf_109_F-4trop.jpg/800px-GarageImage_Bf_109_F-4trop.jpg
Bf 109 G-10,Germany,IV,5.7,692,19.0,21.8,790,437,https://wiki.warthunder.com/images/thumb/2/22/GarageImage_Bf_109_G-10.jpg/800px-GarageImage_Bf_109_G-10.jpg
Bf 109 G-14,Germany,IV,5.3,674,20.0,21.8,790,437,https://wiki.warthunder.com/images/thumb/4/49/GarageImage_Bf_109_G-14.jpg/800px-GarageImage_Bf_109_G-14.jpg
Bf 109 G-2,Germany,III,4.3,696,19.0,23.1,790,437,https://wiki.warthunder.com/images/thumb/6/6b/GarageImage_Bf_109_G-2.jpg/800px-GarageImage_Bf_109_G-2.jpg
Bf 109 G-2/trop,Germany,IV,4.3,682,19.0,23.1,790,437,https://wiki.warthunder.com/images/thumb/4/44/GarageImage_Bf_109_G-2trop.jpg/800px-GarageImage_Bf_109_G-2trop.jpg
Bf 109 G-6,Germany,IV,4.7,668,20.0,19.5,790,437,https://wiki.warthunder.com/images/thumb/9/9c/GarageImage_Bf_109_G-6.jpg/800px-GarageImage_Bf_109_G-6.jpg
Bf 109 K-4,Germany,IV,5.7,720,19.0,23.8,790,437,https://wiki.warthunder.com/images/thumb/d/dd/GarageImage_Bf_109_K-4.jpg/800px-GarageImage_Bf_109_K-4.jpg
Bf 109 Z-1,Germany,IV,4.7,712,23.0,20.5,790,437,https://wiki.warthunder.com/images/thumb/9/94/GarageImage_Bf_109_Z-1.jpg/800px-GarageImage_Bf_109_Z-1.jpg
Bf 110 C-6,Germany,II,3.0,545,23.0,10.8,715,467,https://wiki.warthunder.com/images/thumb/2/26/GarageImage_Bf_110_C-6.jpg/800px-GarageImage_Bf_110_C-6.jpg
Bf 110 C-7,Germany,II,2.7,560,22.0,10.9,715,467,https://wiki.warthunder.com/images/thumb/9/97/GarageImage_Bf_110_C-7.jpg/800px-GarageImage_Bf_110_C-7.jpg
Bf 110 F-2,Germany,II,3.0,570,24.0,10.9,745,467,https://wiki.warthunder.com/images/thumb/e/ea/GarageImage_Bf_110_F-2.jpg/800px-GarageImage_Bf_110_F-2.jpg
Bf 110 G-2,Germany,III,3.7,595,24.0,13.1,745,467,https://wiki.warthunder.com/images/thumb/7/74/GarageImage_Bf_110_G-2.jpg/800px-GarageImage_Bf_110_G-2.jpg
Bf 110 G-4,Germany,III,3.7,591,25.0,12.5,745,467,https://wiki.warthunder.com/images/thumb/a/a8/GarageImage_Bf_110_G-4.jpg/800px-GarageImage_Bf_110_G-4.jpg
BV 138 C-1,Germany,I,1.7,283,39.0,2.2,405,N/A,https://wiki.warthunder.com/images/thumb/c/c7/GarageImage_BV_138_C-1.jpg/800px-GarageImage_BV_138_C-1.jpg
BV 155 B-1,Germany,III,3.7,695,17.2,13.8,730,438,https://wiki.warthunder.com/images/thumb/6/68/GarageImage_BV_155_B-1.jpg/800px-GarageImage_BV_155_B-1.jpg
BV 238,Germany,II,3.7,421,30.0,3.0,546,401,https://wiki.warthunder.com/images/thumb/e/ee/GarageImage_BV_238.jpg/800px-GarageImage_BV_238.jpg
▀C. 200 serie 3,Germany,I,2.3,504,16.0,18.0,845,535,https://wiki.warthunder.com/images/thumb/5/52/GarageImage_C._200_serie_3.jpg/800px-GarageImage_C._200_serie_3.jpg
▀C. 200 serie 7,Germany,I,2.3,504,16.0,16.0,845,535,https://wiki.warthunder.com/images/thumb/4/4f/GarageImage_C._200_serie_7.jpg/800px-GarageImage_C._200_serie_7.jpg
▀C. 202,Germany,I,3.0,602,19.0,15.8,845,535,https://wiki.warthunder.com/images/thumb/6/60/GarageImage_C._202.jpg/800px-GarageImage_C._202.jpg
◄CL-13A Mk 5,Germany,VI,9.0,"1,114",24.0,49.3,"1,170",590,https://wiki.warthunder.com/images/thumb/1/18/GarageImage_CL-13A_Mk_5_%28Germany%29.jpg/800px-GarageImage_CL-13A_Mk_5_%28Germany%29.jpg
◄CL-13B Mk.6,Germany,VI,9.3,"1,122",21.5,62.5,"1,170",590,https://wiki.warthunder.com/images/thumb/7/73/GarageImage_CL-13B_Mk.6_%28Germany%29.jpg/800px-GarageImage_CL-13B_Mk.6_%28Germany%29.jpg
▀CR.42,Germany,I,1.3,429,19.2,17.2,578,N/A,https://wiki.warthunder.com/images/thumb/9/97/GarageImage_CR.42.jpg/800px-GarageImage_CR.42.jpg
Do 17 E-1,Germany,I,1.0,357,33.0,4.8,640,498,https://wiki.warthunder.com/images/thumb/4/49/GarageImage_Do_17_E-1.jpg/800px-GarageImage_Do_17_E-1.jpg
Do 17 Z-2,Germany,I,1.7,407,34.0,10.2,620,480,https://wiki.warthunder.com/images/thumb/0/0c/GarageImage_Do_17_Z-2.jpg/800px-GarageImage_Do_17_Z-2.jpg
Do 17 Z-7,Germany,I,1.3,448,34.0,10.0,620,480,https://wiki.warthunder.com/images/thumb/6/61/GarageImage_Do_17_Z-7.jpg/800px-GarageImage_Do_17_Z-7.jpg
Do 217 E-2,Germany,III,4.7,482,31.0,8.0,0,N/A,https://wiki.warthunder.com/images/thumb/3/35/GarageImage_Do_217_E-2.jpg/800px-GarageImage_Do_217_E-2.jpg
Do 217 E-4,Germany,III,4.7,482,31.0,8.0,0,N/A,https://wiki.warthunder.com/images/thumb/d/db/GarageImage_Do_217_E-4.jpg/800px-GarageImage_Do_217_E-4.jpg
Do 217 J-1,Germany,I,2.0,469,33.0,5.9,0,N/A,https://wiki.warthunder.com/images/thumb/d/d8/GarageImage_Do_217_J-1.jpg/800px-GarageImage_Do_217_J-1.jpg
Do 217 J-2,Germany,I,2.3,469,33.0,5.9,700,N/A,https://wiki.warthunder.com/images/thumb/f/fe/GarageImage_Do_217_J-2.jpg/800px-GarageImage_Do_217_J-2.jpg
Do 217 K-1,Germany,IV,4.7,515,30.0,12.8,0,N/A,https://wiki.warthunder.com/images/thumb/a/a8/GarageImage_Do_217_K-1.jpg/800px-GarageImage_Do_217_K-1.jpg
Do 217 M-1,Germany,IV,4.7,560,30.0,10.0,0,N/A,https://wiki.warthunder.com/images/thumb/d/dc/GarageImage_Do_217_M-1.jpg/800px-GarageImage_Do_217_M-1.jpg
Do 217 N-1,Germany,II,2.7,515,27.7,6.8,700,N/A,https://wiki.warthunder.com/images/thumb/e/e9/GarageImage_Do_217_N-1.jpg/800px-GarageImage_Do_217_N-1.jpg
Do 217 N-2,Germany,II,2.7,515,27.7,6.8,700,N/A,https://wiki.warthunder.com/images/thumb/e/e4/GarageImage_Do_217_N-2.jpg/800px-GarageImage_Do_217_N-2.jpg
Do 335 A-0,Germany,III,4.7,775,27.0,11.8,945,N/A,https://wiki.warthunder.com/images/thumb/6/6d/GarageImage_Do_335_A-0.jpg/800px-GarageImage_Do_335_A-0.jpg
Do 335 A-1,Germany,III,4.3,755,26.0,12.9,945,N/A,https://wiki.warthunder.com/images/thumb/a/a3/GarageImage_Do_335_A-1.jpg/800px-GarageImage_Do_335_A-1.jpg
Do 335 B-2,Germany,IV,5.7,789,26.0,10.1,945,N/A,https://wiki.warthunder.com/images/thumb/b/bf/GarageImage_Do_335_B-2.jpg/800px-GarageImage_Do_335_B-2.jpg
◄F-104G,Germany,VII,10.7,"2,387",34.0,260.0,"1,527",N/A,https://wiki.warthunder.com/images/thumb/e/ef/GarageImage_F-104G_%28Germany%29.jpg/800px-GarageImage_F-104G_%28Germany%29.jpg
◄F-4F,Germany,VII,10.7,"2,140",26.0,192.0,1458,607,https://wiki.warthunder.com/images/thumb/9/93/GarageImage_F-4F_%28Germany%29.jpg/800px-GarageImage_F-4F_%28Germany%29.jpg
◄F-4F Early,Germany,VII,10.3,"2,126",26.0,204.9,1458,607,https://wiki.warthunder.com/images/thumb/b/b1/GarageImage_F-4F_Early_%28Germany%29.jpg/800px-GarageImage_F-4F_Early_%28Germany%29.jpg
◄F-84F,Germany,VI,8.3,"1,102",28.0,38.0,1187,533,https://wiki.warthunder.com/images/thumb/2/23/GarageImage_F-84F_%28Germany%29.jpg/800px-GarageImage_F-84F_%28Germany%29.jpg
◄F-86K,Germany,VI,9.0,"1,111",27.0,56.0,"1,187",593,https://wiki.warthunder.com/images/thumb/a/a4/GarageImage_F-86K_%28Germany%29.jpg/800px-GarageImage_F-86K_%28Germany%29.jpg
Flegel's Bf 109 A,Germany,I,1.3,444,20.0,9.3,790,387,https://wiki.warthunder.com/images/thumb/b/b0/GarageImage_Flegel%27s_Bf_109_A.jpg/800px-GarageImage_Flegel%27s_Bf_109_A.jpg
Fw 189 A-1,Germany,I,2.3,359,16.0,8.0,525,243,https://wiki.warthunder.com/images/thumb/6/66/GarageImage_Fw_189_A-1.jpg/800px-GarageImage_Fw_189_A-1.jpg
Fw 190 A-1,Germany,II,3.0,652,20.2,14.1,0,N/A,https://wiki.warthunder.com/images/thumb/8/80/GarageImage_Fw_190_A-1.jpg/800px-GarageImage_Fw_190_A-1.jpg
Fw 190 A-4,Germany,III,4.0,648,22.0,14.1,912,N/A,https://wiki.warthunder.com/images/thumb/1/11/GarageImage_Fw_190_A-4.jpg/800px-GarageImage_Fw_190_A-4.jpg
Fw 190 A-5,Germany,IV,4.7,660,21.5,14.1,912,-,https://wiki.warthunder.com/images/thumb/1/18/GarageImage_Fw_190_A-5.jpg/800px-GarageImage_Fw_190_A-5.jpg
Fw 190 A-5/U12,Germany,IV,4.7,666,20.6,14.1,912,-,https://wiki.warthunder.com/images/thumb/e/e1/GarageImage_Fw_190_A-5_U12.jpg/800px-GarageImage_Fw_190_A-5_U12.jpg
Fw 190 A-5/U14,Germany,III,4.0,677,21.0,14.1,912,N/A,https://wiki.warthunder.com/images/thumb/3/35/GarageImage_Fw_190_A-5-U14.jpg/800px-GarageImage_Fw_190_A-5-U14.jpg
Fw 190 A-5/U2,Germany,III,4.0,677,21.0,14.1,912,-,https://wiki.warthunder.com/images/thumb/b/b8/GarageImage_Fw_190_A-5_U2.jpg/800px-GarageImage_Fw_190_A-5_U2.jpg
Fw 190 A-8,Germany,IV,5.0,652,22.8,14.1,912,N/A,https://wiki.warthunder.com/images/thumb/4/4f/GarageImage_Fw_190_A-8.jpg/800px-GarageImage_Fw_190_A-8.jpg
Fw 190 C,Germany,IV,5.0,685,20.0,15.6,912,N/A,https://wiki.warthunder.com/images/thumb/6/6e/GarageImage_Fw_190_C.jpg/800px-GarageImage_Fw_190_C.jpg
Fw 190 D-12,Germany,IV,5.0,725,21.6,17.1,912,N/A,https://wiki.warthunder.com/images/thumb/a/af/GarageImage_Fw_190_D-12.jpg/800px-GarageImage_Fw_190_D-12.jpg
Fw 190 D-13,Germany,IV,5.0,725,21.6,17.1,912,N/A,https://wiki.warthunder.com/images/thumb/d/dd/GarageImage_Fw_190_D-13.jpg/800px-GarageImage_Fw_190_D-13.jpg
Fw 190 D-9,Germany,III,5.0,710,20.4,15.8,912,N/A,https://wiki.warthunder.com/images/thumb/1/18/GarageImage_Fw_190_D-9.jpg/800px-GarageImage_Fw_190_D-9.jpg
Fw 190 F-8,Germany,IV,5.0,635,23.2,15.8,912,N/A,https://wiki.warthunder.com/images/thumb/7/7a/GarageImage_Fw_190_F-8.jpg/800px-GarageImage_Fw_190_F-8.jpg
Fw 200 C-1,Germany,II,2.3,378,30,4.0,450,333,https://wiki.warthunder.com/images/thumb/7/7d/GarageImage_Fw_200_C-1.jpg/800px-GarageImage_Fw_200_C-1.jpg
▀G.50 AS serie 7,Germany,I,1.7,470,15.0,10.3,0,535,https://wiki.warthunder.com/images/thumb/a/a0/GarageImage_G.50_AS_serie_7.jpg/800px-GarageImage_G.50_AS_serie_7.jpg
▀G.50 serie 2,Germany,I,1.7,470,15.0,15.0,0,535,https://wiki.warthunder.com/images/thumb/9/93/GarageImage_G.50_serie_2.jpg/800px-GarageImage_G.50_serie_2.jpg
◄G.91 R/3,Germany,VI,8.7,"1,084",26.0,39.0,1128,589,https://wiki.warthunder.com/images/thumb/5/5c/GarageImage_G.91_R3.jpg/800px-GarageImage_G.91_R3.jpg
◄G.91 R/4,Germany,V,8.7,"1,084",26.0,39.0,1128,589,https://wiki.warthunder.com/images/thumb/e/ed/GarageImage_G.91_R4_%28Germany%29.jpg/800px-GarageImage_G.91_R4_%28Germany%29.jpg
▀Hawk H-75A-2,Germany,II,2.7,560,21.0,10.6,770,488,https://wiki.warthunder.com/images/thumb/f/fc/GarageImage_Hawk_H-75A-2_%28Germany%29.jpg/800px-GarageImage_Hawk_H-75A-2_%28Germany%29.jpg
He 100 D-1,Germany,I,1.7,670,20.0,16.6,820,487,https://wiki.warthunder.com/images/thumb/e/e8/GarageImage_He_100_D-1.jpg/800px-GarageImage_He_100_D-1.jpg
He 111 H-16,Germany,II,3.0,432,31.0,4.6,480,340,https://wiki.warthunder.com/images/thumb/2/29/GarageImage_He_111_H-16.jpg/800px-GarageImage_He_111_H-16.jpg
He 111 H-3,Germany,I,2.3,435,33.0,6.3,480,402,https://wiki.warthunder.com/images/thumb/6/6f/GarageImage_He_111_H-3.jpg/800px-GarageImage_He_111_H-3.jpg
He 111 H-6,Germany,II,2.7,430,32.0,4.6,480,402,https://wiki.warthunder.com/images/thumb/9/9f/GarageImage_He_111_H-6.jpg/800px-GarageImage_He_111_H-6.jpg
He 112 A-0,Germany,I,1.7,473,17.0,11.1,680,403,https://wiki.warthunder.com/images/thumb/d/da/GarageImage_He_112_A-0.jpg/800px-GarageImage_He_112_A-0.jpg
He 112 B-0,Germany,II,2.0,502,19.0,13.8,730,498,https://wiki.warthunder.com/images/thumb/1/1e/GarageImage_He_112_B-0.jpg/800px-GarageImage_He_112_B-0.jpg
He 112 B-1/U2,Germany,II,2.0,503,16.0,15.8,730,498,https://wiki.warthunder.com/images/thumb/4/41/GarageImage_He_112_B-1_U2_%28Germany%29.jpg/800px-GarageImage_He_112_B-1_U2_%28Germany%29.jpg
He 112 B-2/U2,Germany,II,2.0,503,16.0,15.8,730,498,https://wiki.warthunder.com/images/thumb/7/72/GarageImage_He_112_B-2_U2.jpg/800px-GarageImage_He_112_B-2_U2.jpg
He 112 V-5,Germany,I,1.3,483,17.0,11.1,680,403,https://wiki.warthunder.com/images/thumb/1/15/GarageImage_He_112_V-5.jpg/800px-GarageImage_He_112_V-5.jpg
He 115 C-1,Germany,I,1.3,300,23.0,4.3,480,402,https://wiki.warthunder.com/images/thumb/c/ca/GarageImage_He_115_C-1.jpg/800px-GarageImage_He_115_C-1.jpg
He 162 A-1,Germany,V,6.0,840,30.0,23.4,1040,677,https://wiki.warthunder.com/images/thumb/e/ee/GarageImage_He_162_A-1.jpg/800px-GarageImage_He_162_A-1.jpg
He 162 A-2,Germany,V,6.0,840,30.0,23.4,1040,677,https://wiki.warthunder.com/images/thumb/f/f2/GarageImage_He_162_A-2.jpg/800px-GarageImage_He_162_A-2.jpg
He 177 A-5,Germany,IV,6.0,555,31.0,8.0,683,431,https://wiki.warthunder.com/images/thumb/f/ff/GarageImage_He_177_A-5.jpg/800px-GarageImage_He_177_A-5.jpg
He 219 A-7,Germany,IV,4.3,624,30.7,10.8,787,470,https://wiki.warthunder.com/images/thumb/4/49/GarageImage_He_219_A-7.jpg/800px-GarageImage_He_219_A-7.jpg
He 51 A-1,Germany,I,1.0,305,13.7,13.0,500,498,https://wiki.warthunder.com/images/thumb/2/22/GarageImage_He_51_A-1.jpg/800px-GarageImage_He_51_A-1.jpg
He 51 B-1,Germany,I,1.0,310,14.7,14.2,550,498,https://wiki.warthunder.com/images/thumb/c/c4/GarageImage_He_51_B-1.jpg/800px-GarageImage_He_51_B-1.jpg
He 51 B-2/H,Germany,I,1.0,315,16.0,17.2,500,498,https://wiki.warthunder.com/images/thumb/5/5e/GarageImage_He_51_B-2_H.jpg/800px-GarageImage_He_51_B-2_H.jpg
He 51 C-1,Germany,I,1.0,310,15.0,14.2,550,498,https://wiki.warthunder.com/images/thumb/1/13/GarageImage_He_51_C-1.jpg/800px-GarageImage_He_51_C-1.jpg
He 51 C-1/L,Germany,I,1.0,310,15.0,14.3,550,498,https://wiki.warthunder.com/images/thumb/f/f5/GarageImage_He_51_C-1_L.jpg/800px-GarageImage_He_51_C-1_L.jpg
Ho 229 V3,Germany,V,7.0,910,24.0,21.0,980,558,https://wiki.warthunder.com/images/thumb/3/37/GarageImage_Ho_229_V3.jpg/800px-GarageImage_Ho_229_V3.jpg
Hs 123 A-1,Germany,I,1.0,310,15.0,12.0,577,300,https://wiki.warthunder.com/images/thumb/d/d9/GarageImage_Hs_123_A-1.jpg/800px-GarageImage_Hs_123_A-1.jpg
Hs 129 B-2,Germany,II,2.3,439,27.9,8.2,630,287,https://wiki.warthunder.com/images/thumb/a/ac/GarageImage_Hs_129_B-2.jpg/800px-GarageImage_Hs_129_B-2.jpg
Hs 129 B-2 (Romania),Germany,III,2.3,439,27.9,8.3,630,287,https://wiki.warthunder.com/images/thumb/d/d9/GarageImage_Hs_129_B-2_%28Romania%29.jpg/800px-GarageImage_Hs_129_B-2_%28Romania%29.jpg
Hs 129 B-3,Germany,II,2.3,439,27.9,8.3,630,287,https://wiki.warthunder.com/images/thumb/6/62/GarageImage_Hs_129_B-3.jpg/800px-GarageImage_Hs_129_B-3.jpg
◌Hunter F.58,Germany,VI,9.7,"1,148",25.0,69.6,"1,225",603,https://wiki.warthunder.com/images/thumb/8/81/GarageImage_Hunter_F.58_%28Germany%29.jpg/800px-GarageImage_Hunter_F.58_%28Germany%29.jpg
▀IL-2 (1942),Germany,II,3.0,423,25.0,8.3,620,N/A,https://wiki.warthunder.com/images/thumb/6/61/GarageImage_IL-2_%281942%29_%28Germany%29.jpg/800px-GarageImage_IL-2_%281942%29_%28Germany%29.jpg
◊IL-28,Germany,V,8.0,905,48.0,20.0,810,577,https://wiki.warthunder.com/images/thumb/e/ed/GarageImage_IL-28_%28Germany%29.jpg/800px-GarageImage_IL-28_%28Germany%29.jpg
Ju 188 A-2,Germany,IV,5.3,520,32.0,8.0,675,457,https://wiki.warthunder.com/images/thumb/3/3c/GarageImage_Ju_188_A-2.jpg/800px-GarageImage_Ju_188_A-2.jpg
Ju 288 C,Germany,IV,6.0,630,30.7,11.4,675,457,https://wiki.warthunder.com/images/thumb/4/45/GarageImage_Ju_288_C.jpg/800px-GarageImage_Ju_288_C.jpg
Ju 388 J,Germany,IV,4.3,621,29.0,8.9,675,457,https://wiki.warthunder.com/images/thumb/c/c8/GarageImage_Ju_388_J.jpg/800px-GarageImage_Ju_388_J.jpg
Ju 87 B-2,Germany,I,1.0,383,27.0,9.5,680,N/A,https://wiki.warthunder.com/images/thumb/4/4b/GarageImage_Ju_87_B-2.jpg/800px-GarageImage_Ju_87_B-2.jpg
Ju 87 D-3,Germany,II,2.0,385,31.0,11.2,730,N/A,https://wiki.warthunder.com/images/thumb/9/9b/GarageImage_Ju_87_D-3.jpg/800px-GarageImage_Ju_87_D-3.jpg
Ju 87 D-5,Germany,II,3.3,385,31.0,11.2,730,N/A,https://wiki.warthunder.com/images/thumb/1/11/GarageImage_Ju_87_D-5.jpg/800px-GarageImage_Ju_87_D-5.jpg
Ju 87 G-1,Germany,I,1.3,380,32.0,11.6,730,N/A,https://wiki.warthunder.com/images/thumb/d/da/GarageImage_Ju_87_G-1.jpg/800px-GarageImage_Ju_87_G-1.jpg
Ju 87 G-2,Germany,I,1.7,380,32.0,9.5,730,N/A,https://wiki.warthunder.com/images/thumb/2/28/GarageImage_Ju_87_G-2.jpg/800px-GarageImage_Ju_87_G-2.jpg
Ju 87 R-2,Germany,I,1.3,383,27.0,9.6,680,N/A,https://wiki.warthunder.com/images/thumb/6/6f/GarageImage_Ju_87_R-2.jpg/800px-GarageImage_Ju_87_R-2.jpg
Ju 87 R-2 Libya,Germany,I,1.3,383,27.0,9.6,680,N/A,https://wiki.warthunder.com/images/thumb/f/f5/GarageImage_Ju_87_R-2_Libya.jpg/800px-GarageImage_Ju_87_R-2_Libya.jpg
Ju 88 A-1,Germany,II,2.0,455,30.0,6.8,675,457,https://wiki.warthunder.com/images/thumb/1/1b/GarageImage_Ju_88_A-1.jpg/800px-GarageImage_Ju_88_A-1.jpg
Ju 88 A-4,Germany,II,3.0,455,30.0,6.8,675,457,https://wiki.warthunder.com/images/thumb/5/5b/GarageImage_Ju_88_A-4.jpg/800px-GarageImage_Ju_88_A-4.jpg
Ju 88 C-6,Germany,II,2.3,490,29.0,7.6,675,457,https://wiki.warthunder.com/images/thumb/a/aa/GarageImage_Ju_88_C-6.jpg/800px-GarageImage_Ju_88_C-6.jpg
